sample	genome	cellline	label	ftp
GSM1985857	hg19	NHF1	64PP	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1985nnn/GSM1985847/suppl/
ENCFF977NNH	hg38	GM12878	atacSeq	https://www.encodeproject.org/files/ENCFF977NNH/@@download/ENCFF977NNH.bigWig
ENCFF428XFI	hg38	GM12878	DNaseSeq	https://www.encodeproject.org/files/ENCFF428XFI/@@download/ENCFF428XFI.bigWig
ENCFF836XOQ	hg38	GM12878	H3K4me1	https://www.encodeproject.org/files/ENCFF836XOQ/@@download/ENCFF836XOQ.bigWig
ENCFF480KNX	hg38	GM12878	H3K4me3	https://www.encodeproject.org/files/ENCFF480KNX/@@download/ENCFF480KNX.bigWig
ENCFF701JXT	hg38	GM12878	H3K4me2	https://www.encodeproject.org/files/ENCFF701JXT/@@download/ENCFF701JXT.bigWig
ENCFF776JKS	hg38	GM12878	H3K9ac	https://www.encodeproject.org/files/ENCFF776JKS/@@download/ENCFF776JKS.bigWig
ENCFF174RRQ	hg38	GM12878	H3K9me3	https://www.encodeproject.org/files/ENCFF174RRQ/@@download/ENCFF174RRQ.bigWig
ENCFF691LFQ	hg38	GM12878	H3K27me3	https://www.encodeproject.org/files/ENCFF691LFQ/@@download/ENCFF691LFQ.bigWig
ENCFF798KYP	hg38	GM12878	H3K27ac	https://www.encodeproject.org/files/ENCFF798KYP/@@download/ENCFF798KYP.bigWig
ENCFF397UEP	hg38	GM12878	H3K36me3	https://www.encodeproject.org/files/ENCFF397UEP/@@download/ENCFF397UEP.bigWig
ENCFF862NNR	hg38	GM12878	H3K79me2	https://www.encodeproject.org/files/ENCFF862NNR/@@download/ENCFF862NNR.bigWig
ENCFF662PHQ	hg38	GM12878	H2AFZ	https://www.encodeproject.org/files/ENCFF662PHQ/@@download/ENCFF662PHQ.bigWig
ENCFF084LTI	hg38	GM12878	H4K20me1	https://www.encodeproject.org/files/ENCFF084LTI/@@download/ENCFF084LTI.bigWig

